Reference, Value, Footprint, Datasheet, Digikey #
"U2","Teensy3.2","teensy:Teensy35_36_edge",""
"C1","10uF","Capacitors_SMD:C_0603","","490-3298-1-ND"
"C2","10uF","Capacitors_SMD:C_0603","","490-3298-1-ND"
"P4","SCREW_PLACEHOLDER","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"P5","PWR","Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-4pol",""
"IC1","ATMEGA328-A","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","ATMEGA328-AURCT-ND"
"Y1","Crystal","Crystals:Crystal_HC49-SD_SMD","","535-10226-1-ND"
"C3","22pF","Capacitors_SMD:C_0603","","478-1167-1-ND"
"C4","22pF","Capacitors_SMD:C_0603","","478-1167-1-ND"
"Q1","Q_NMOS_GDS","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","","497-2757-5-ND"
"D1","D_Schottky","Diodes_SMD:SOD-323","","497-3707-1-ND"
"CON1","AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03",""
"W1","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big",""
"W2","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big",""
"W3","TEST_1P","Measurement_Points:Measurement_Point_Round-SMD-Pad_Big",""
"P7","CONN_02X24","Pin_Headers:Pin_Header_Straight_2x24",""
"Q3","Q_NMOS_GDS","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","","497-2757-5-ND"
"D2","D_Schottky","Diodes_SMD:SOD-323","","497-3707-1-ND"
"Q5","Q_NMOS_GDS","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","","497-2757-5-ND"
"D3","D_Schottky","Diodes_SMD:SOD-323","","497-3707-1-ND"
"Q7","Q_NMOS_GDS","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","","497-2757-5-ND"
"D4","D_Schottky","Diodes_SMD:SOD-323","","497-3707-1-ND"
"P3","SCREW_PLACEHOLDER","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"P2","SCREW_PLACEHOLDER","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"P1","SCREW_PLACEHOLDER","Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad",""
"U1","R-78B5.0-2.0","Power_Integrations:TO-220","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","945-3042-ND"
"J1","Conn_01x14","Pin_Headers:Pin_Header_Straight_2x07","~"
"J2","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02","~"
"D5","LED","LEDs:LED-0603","~","160-1447-1-ND "
"R57","150","Resistors_SMD:R_0603","~","RNCP0603FTD150RCT-ND "
"J3","Conn_01x03_Male","Pin_Headers:Pin_Header_Straight_1x03","~"
"U3","74AHC125","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","1727-6305-1-ND"
"R7","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R8","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R38","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R37","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R26","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R25","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R14","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R13","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R48","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R47","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R36","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R35","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R24","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R23","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R12","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R11","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R46","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R45","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R34","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R33","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R22","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R21","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R10","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R9","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R44","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R43","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R32","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R31","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R20","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R19","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R6","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R5","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R42","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R41","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R30","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R29","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R18","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R17","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R4","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R3","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R40","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R39","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R28","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R27","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R16","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R15","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R2","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R1","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R49","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R50","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R53","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R54","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R51","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R52","620","Resistors_SMD:R_0402","~","P620JCT-ND"
"R55","1.3k","Resistors_SMD:R_0402","~","P1.3KJCT-ND"
"R56","620","Resistors_SMD:R_0402","~","P620JCT-ND"
